longitude,latitude,city,wrb4_code,physical_root_depth,physical_available_water_capacity,basic_ph,basic_organic_carbon,basic_total_nitrogen,basic_c/n_ratio,texture_clay,texture_silt,texture_sand,texture_coarse_fragments,physical_bulk_density,physical_reference_bulk_density,chemical_cation_exchange_capacity,chemical_clay_cec,chemical_effective_cec,chemical_total_exchangeable_bases,chemical_base_saturation,chemical_exchangeable_sodium_percentage,chemical_aluminum_saturation,salinity_electrical_conductivity,salinity_total_carbon_equivalent,salinity_gypsum_content
26.6,41.0,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.6,41.2,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.6,41.6,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.6,41.8,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.8,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.8,39.0,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
26.8,39.2,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
26.8,39.4,Balıkesir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
26.8,39.6,Van,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.8,39.8,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.8,40.2,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.8,40.4,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.8,41.2,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.8,41.4,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.8,41.6,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.8,41.8,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,38.4,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,38.6,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,38.8,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.0,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.2,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.4,Balıkesir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.6,Van,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.0,39.8,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.0,40.2,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.0,41.4,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,41.6,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,41.8,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,37.4,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,37.6,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.0,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.4,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.6,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.0,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.2,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.4,Balıkesir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.6,Balıkesir,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,39.8,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,40.0,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,40.2,Çanakkale,TC,1,0,6.4,1.763,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,40.4,Çanakkale,TC,1,0,6.4,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,41.4,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,41.6,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,41.8,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.0,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.4,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.6,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.8,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,38.0,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,38.4,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,39.0,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.4,39.2,İzmir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.4,39.4,Balıkesir,FLca,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.4,39.6,Balıkesir,TC,1,0,6.6,1.597,1.32,10.5,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,39.8,Çanakkale,TC,1,0,6.4,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,40.0,Çanakkale,TC,1,0,6.4,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,40.2,Çanakkale,TC,1,0,6.5,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,41.4,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,41.6,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,41.8,Kırklareli,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.0,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.2,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.4,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.6,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.8,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.0,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.4,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.8,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.6,39.0,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.6,39.2,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.6,39.4,Balıkesir,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.6,39.6,Balıkesir,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.6,39.8,Balıkesir,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.6,40.0,Isparta,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.6,40.2,Isparta,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.6,41.6,Kırklareli,LVcr,1,160,6.0,1.304,1.16,11.0,25.0,46.0,29.0,5.0,1.27,1.78,13.0,47.0,14.0,13.0,81.0,2.0,13.0,1.0,0.0,0.1
27.6,41.8,Kırklareli,LVcr,1,160,6.0,1.304,1.16,11.0,25.0,46.0,29.0,5.0,1.27,1.78,13.0,47.0,14.0,13.0,81.0,2.0,13.0,1.0,0.0,0.1
27.8,36.8,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,37.0,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,37.2,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,37.4,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,37.6,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,37.8,Aydın,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,38.0,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,38.4,Manisa,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.8,38.6,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.8,38.8,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.8,39.0,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.8,39.2,Manisa,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.8,39.4,Balıkesir,LPmo,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.8,39.6,Balıkesir,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.8,39.8,Balıkesir,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.8,40.0,Balıkesir,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.8,40.2,Isparta,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.8,40.4,Balıkesir,CMeu,1,150,6.4,1.562,1.41,11.0,20.0,40.0,40.0,13.0,1.41,1.71,16.0,54.0,15.0,14.0,82.0,2.0,0.0,2.0,0.0,1.6
27.8,41.6,Kırklareli,LVcr,1,160,6.0,1.304,1.16,11.0,25.0,46.0,29.0,5.0,1.27,1.78,13.0,47.0,14.0,13.0,81.0,2.0,13.0,1.0,0.0,0.1
27.8,41.8,Kırklareli,LVcr,1,160,6.0,1.304,1.16,11.0,25.0,46.0,29.0,5.0,1.27,1.78,13.0,47.0,14.0,13.0,81.0,2.0,13.0,1.0,0.0,0.1
28.0,36.6,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
28.0,36.8,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
28.0,37.0,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
28.0,37.2,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
28.0,37.4,Muğla,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
