Model,Test_Accuracy,Test_F1_Score,CV_Accuracy
Random Forest,0.9659090909090909,0.9658195035601969,0.9664772727272728
Decision Tree,0.95,0.9490571680309481,0.9369318181818181
SVM,0.6613636363636364,0.6518575765568321,0.5988636363636364
K-Nearest Neighbors,0.6090909090909091,0.6020702669306855,0.6306818181818182
Logistic Regression,0.5636363636363636,0.5395549337261977,0.5704545454545453
