Model,CV_F1_mean,CV_F1_std,CV_Scores
LightGBM,0.9800511824297835,0.007733138966161525,"[0.9886335865991291, 0.9801741757753489, 0.9829072051374536, 0.9656002843686128, 0.9829406602683729]"
XGBoost,0.9777267369224416,0.0033675694248625192,"[0.9828573491513374, 0.9740107539950131, 0.9744404433327584, 0.9772448915583296, 0.9800802465747694]"
Random Forest,0.9696715815520875,0.011622008554668153,"[0.9829072051374536, 0.9687865262073904, 0.9567106319111667, 0.9571078589094746, 0.9828456855949526]"
Logistic Regression,0.5419598688728511,0.010177513602385965,"[0.5325927238086827, 0.5472722385521119, 0.5320203955522893, 0.5590869391550077, 0.5388270472961634]"
