28.4,39.4,Balıkesir
28.4,39.6,Balıkesir
28.4,39.8,Balıkesir
28.4,40.0,Bursa
28.4,40.2,Bursa
28.4,40.4,Bursa
28.4,41.2,İstanbul
28.4,41.4,İstanbul
28.6,36.8,Muğla
28.6,37.0,Muğla
28.6,37.2,Muğla
28.6,37.4,Muğla
28.6,37.6,Aydın
28.6,37.8,Aydın
28.6,38.0,Aydın
28.6,38.2,Manisa
28.6,38.4,Manisa
28.6,38.6,Manisa
28.6,38.8,Manisa
28.6,39.0,Manisa
28.6,39.2,Balıkesir
28.6,39.4,Balıkesir
28.6,39.6,Balıkesir
28.6,39.8,Bursa
28.6,40.0,Bursa
28.6,40.2,Bursa
28.6,41.0,İstanbul
28.6,41.2,İstanbul
28.8,36.8,Muğla
28.8,37.0,Muğla
28.8,37.2,Denizli
28.8,37.4,Malatya
28.8,37.6,Denizli
28.8,37.8,Denizli
28.8,38.0,Denizli
28.8,38.2,Manisa
28.8,38.4,Uşak
28.8,38.6,Manisa
28.8,38.8,Manisa
28.8,39.0,Manisa
28.8,39.2,Kütahya
28.8,39.4,Balıkesir
28.8,39.6,Balıkesir
28.8,39.8,Bursa
28.8,40.0,Bursa
28.8,40.2,Bursa
28.8,40.4,Bursa
28.8,40.6,Yalova
28.8,41.0,İstanbul
28.8,41.2,İstanbul
29.0,36.8,Muğla
29.0,37.0,Muğla
29.0,37.2,Denizli
29.0,37.4,Denizli
29.0,37.6,Denizli
29.0,37.8,Denizli
29.0,38.0,Denizli
29.0,38.2,Denizli
29.0,38.4,Uşak
29.0,38.6,Uşak
29.0,38.8,Manisa
29.0,39.0,Kütahya
29.0,39.2,Kütahya
29.0,39.4,Kütahya
29.0,39.6,Bursa
29.0,39.8,Bursa
29.0,40.0,Bursa
29.0,40.2,Bursa
29.0,41.0,İstanbul
29.0,41.2,İstanbul
29.2,36.4,Muğla
29.2,36.6,Muğla
29.2,36.8,Muğla
29.2,37.0,Denizli
29.2,37.2,Denizli
29.2,37.4,Denizli
29.2,37.6,Denizli
29.2,37.8,Denizli
29.2,38.0,Denizli
29.2,38.2,Uşak
29.2,38.4,Uşak
29.2,38.6,Uşak
29.2,38.8,Uşak
29.2,39.0,Kütahya
29.2,39.2,Kütahya
29.2,39.4,Kütahya
29.2,39.6,Kütahya
29.2,39.8,Bursa
29.2,40.0,Bursa
29.2,40.2,Bursa
29.2,40.4,Bursa
29.2,41.0,İstanbul
29.2,41.2,İstanbul
29.4,36.6,Muğla
29.4,36.8,Muğla
29.4,37.0,Burdur
29.4,37.2,Denizli
29.4,37.4,Denizli
29.4,37.6,Denizli
29.4,37.8,Denizli
29.4,38.2,Denizli
29.4,38.4,Uşak
29.4,38.6,Uşak
29.4,38.8,Uşak
29.4,39.0,Kütahya
29.4,39.2,Kütahya
29.4,39.4,Kütahya
29.4,39.6,Kütahya
29.4,39.8,Bursa
29.4,40.0,Bursa
29.4,40.2,Bursa
29.4,40.4,Bursa
29.4,40.8,Kocaeli
29.4,41.0,İstanbul
29.4,41.2,İstanbul
29.6,36.8,Muğla
29.6,37.0,Sivas
29.6,37.2,Burdur
29.6,37.4,Denizli
29.6,37.6,Burdur
29.6,37.8,Kastamonu
29.6,38.0,Denizli
29.6,38.2,Denizli
29.6,38.4,Uşak
29.6,38.6,Uşak
29.6,38.8,Uşak
29.6,39.0,Kütahya
29.6,39.2,Kütahya
29.6,39.4,Kütahya
29.6,39.6,Kütahya
29.6,39.8,Kütahya
29.6,40.0,Bursa
29.6,40.2,Mersin
29.6,40.4,Bursa
29.6,40.6,Kocaeli
29.6,40.8,Kocaeli
29.6,41.0,Kocaeli
29.8,36.2,Antalya
29.8,36.6,Antalya
29.8,36.8,Antalya
29.8,37.0,Antalya
29.8,37.2,Burdur
29.8,37.4,Burdur
29.8,37.6,Burdur
29.8,37.8,Denizli
29.8,38.0,Afyonkarahisar
29.8,38.2,Denizli
29.8,38.4,Denizli
29.8,38.6,Uşak
29.8,38.8,Uşak
29.8,39.0,Kütahya
29.8,39.2,Kütahya
29.8,39.4,Kütahya
29.8,39.6,Kütahya
29.8,39.8,Bilecik
29.8,40.0,Bilecik
29.8,40.2,Bilecik
29.8,40.4,Bursa
29.8,40.6,Kocaeli
29.8,40.8,Kocaeli
29.8,41.0,Kocaeli
30.0,36.2,Antalya
30.0,36.4,Antalya
30.0,36.6,Antalya
30.0,36.8,Antalya
30.0,37.0,Antalya
30.0,37.2,Antalya
30.0,37.4,Burdur
30.0,37.6,Burdur
30.0,37.8,Burdur
30.0,38.0,Afyonkarahisar
30.0,38.2,Denizli
30.0,38.4,Denizli
30.0,38.6,Afyonkarahisar
30.0,38.8,Uşak
30.0,39.0,Kütahya
30.0,39.2,Kütahya
30.0,39.4,Kütahya
30.0,39.6,Kütahya
30.0,39.8,Bilecik
30.0,40.0,Bilecik
30.0,40.2,Bilecik
30.0,40.4,Bilecik
30.0,40.6,Kocaeli
30.0,40.8,Kocaeli
30.0,41.0,Kocaeli
30.2,36.4,Antalya
30.2,36.6,Antalya
30.2,36.8,Antalya
30.2,37.0,Antalya
30.2,37.2,Antalya
30.2,37.4,Burdur
30.2,37.6,Burdur
30.2,37.8,Isparta
30.2,38.0,Afyonkarahisar
30.2,38.2,Afyonkarahisar
30.2,38.4,Afyonkarahisar
30.2,38.6,Afyonkarahisar
30.2,38.8,Afyonkarahisar
30.2,39.0,Kütahya
30.2,39.2,Kütahya
30.2,39.4,Kütahya
30.2,39.6,Kütahya
30.2,39.8,Eskişehir
30.2,40.0,Bilecik
30.2,40.2,Bilecik
30.2,40.4,Sakarya
30.2,40.6,Sakarya
30.2,40.8,Kocaeli
30.2,41.0,Kocaeli
30.4,36.4,Antalya
30.4,36.6,Burdur
30.4,36.8,Antalya
30.4,37.0,Antalya
30.4,37.2,Antalya
30.4,37.4,Burdur
30.4,37.6,Burdur
30.4,37.8,Burdur
30.4,38.0,Isparta
30.4,38.2,Afyonkarahisar
30.4,38.4,Afyonkarahisar
30.4,38.6,Afyonkarahisar
30.4,38.8,Afyonkarahisar
30.4,39.0,Afyonkarahisar
30.4,39.2,Kütahya
30.4,39.4,Eskişehir
30.4,39.6,Eskişehir
30.4,39.8,Eskişehir
30.4,40.0,Eskişehir
30.4,40.2,Bilecik
30.4,40.4,Sakarya
30.4,40.6,Sakarya
30.4,40.8,Sakarya
30.4,41.0,Sakarya
30.6,36.6,Burdur
30.6,37.0,Antalya
30.6,37.2,Antalya
30.6,37.4,Burdur
30.6,37.6,Burdur
30.6,37.8,Isparta
30.6,38.0,Isparta
30.6,38.2,Isparta
30.6,38.4,Afyonkarahisar
30.6,38.6,Afyonkarahisar
30.6,38.8,Afyonkarahisar
30.6,39.0,Afyonkarahisar
30.6,39.2,Eskişehir
30.6,39.4,Eskişehir
30.6,39.6,Eskişehir
30.6,39.8,Eskişehir
30.6,40.0,Eskişehir
30.6,40.2,Bilecik
30.6,40.4,Bolu
30.6,40.6,Sakarya
30.6,40.8,Sakarya
30.6,41.0,Sakarya
30.8,37.0,Antalya
30.8,37.2,Isparta
30.8,37.4,Burdur
30.8,37.6,Isparta
30.8,37.8,Isparta
30.8,38.0,Isparta
30.8,38.2,Isparta
30.8,38.6,Afyonkarahisar
30.8,38.8,Afyonkarahisar
30.8,39.0,Afyonkarahisar
30.8,39.4,Eskişehir
30.8,39.6,Eskişehir
30.8,39.8,Eskişehir
30.8,40.0,Eskişehir
30.8,40.2,Bolu
30.8,40.4,Bolu
30.8,40.6,Sakarya
30.8,40.8,Sakarya
30.8,41.0,Sakarya
31.0,37.0,Antalya
31.0,37.2,Antalya
31.0,37.4,Isparta
31.0,37.6,Isparta
31.0,37.8,Isparta
31.0,38.0,Isparta
31.0,38.2,Isparta
31.0,38.4,Isparta
31.0,38.8,Afyonkarahisar
31.0,39.0,Afyonkarahisar
31.0,39.2,Eskişehir
31.0,39.4,Eskişehir
31.0,39.6,Eskişehir
31.0,39.8,Eskişehir
31.0,40.0,Eskişehir
31.0,40.4,Bolu
31.0,40.6,Bolu
31.0,40.8,Düzce
31.0,41.0,Düzce
31.2,36.8,Antalya
31.2,37.0,Antalya
31.2,37.2,Antalya
31.2,37.4,Antalya
31.2,37.6,Isparta
31.2,37.8,Isparta
31.2,38.0,Isparta
31.2,38.2,Isparta
31.2,38.4,Isparta
31.2,38.6,Afyonkarahisar
31.2,38.8,Afyonkarahisar
31.2,39.0,Afyonkarahisar
